Price,Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,Dual SIM,URL
"Rs 95,500",Used,Apple,iPhone 12 Pro,,iOS,,256 GB,Triple,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-kurunegala-1269
"Rs 75,000",Used,Apple,iPhone 12,Apple,iOS,,128 GB,Dual,,5G,Dual VoLTE,,https://ikman.lk/en/ad/apple-iphone-12-iphone12-used-for-sale-trincomalee
"Rs 238,500",Used,Apple,iPhone 16 Pro,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-128gb-used-for-sale-colombo-679
"Rs 280,000",Used,Apple,iPhone 16 Pro Max,16 pro max,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-used-for-sale-colombo-1039
"Rs 26,000",Used,Apple,iPhone 7 Plus,256GB,iOS,3 GB,256 GB,Dual,5.1 to 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-7-plus-256-gb-used-for-sale-colombo-260
"Rs 98,999",Used,Apple,iPhone 13,128GB,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11570
"Rs 175,006",Used,Apple,iPhone 16,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-128gb-used-for-sale-colombo-1062
"Rs 176,999",Used,Apple,iPhone 14 Pro Max,128GB FULLSET BOX,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-fullset-box-used-for-sale-colombo-2
"Rs 212,005",Used,Apple,iPhone 15 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5859
"Rs 65,500",Used,Apple,iPhone 11,,iOS,6 GB,128 GB,Dual,5.1 to 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-gampaha-4083
"Rs 267,000",Used,Apple,iPhone 16 Pro Max,Apple,iOS,,256 GB,Triple,5.1 to 6 inches,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-used-for-sale-colombo-1038
"Rs 119,799",Used,Apple,iPhone 12 Pro,128GB,iOS,4 GB,128 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-colombo-5629
"Rs 124,000",Used,Apple,iPhone 13 Pro,256GB,iOS,,256 GB,Triple,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-kandy-576
"Rs 87,000",Used,Apple,iPhone 11 Pro Max,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-max-256gb-used-for-sale-kurunegala-656
"Rs 108,007",Used,Apple,iPhone 14,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5963
"Rs 93,500",Used,Apple,iPhone 13,,iOS,6 GB,128 GB,Dual,5.1 to 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-colombo-3478
"Rs 155,500",Used,Apple,iPhone 15,,iOS,8 GB,128 GB,Dual,5.1 to 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-15-used-for-sale-gampaha-363
"Rs 108,799",Used,Apple,iPhone 12 Pro,128GB,iOS,,128 GB,Triple,,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-colombo-5613
"Rs 239,000",Used,Apple,iPhone 16 Pro,128GB/256GB/512GB,iOS,,,Triple,,5G,,,https://ikman.lk/en/ad/apple-iphone-16-pro-128gb-256gb-512gb-used-for-sale-kurunegala-13
"Rs 188,000",Used,Apple,iPhone 15 Pro,128GB/256GB,iOS,,,Triple,,5G,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-256gb-used-for-sale-kurunegala-2
"Rs 196,005",Used,Apple,iPhone 15 Pro,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1518
"Rs 140,000",Used,Apple,iPhone 15,128GB/256GB/512GB,iOS,,,Dual,,5G,,,https://ikman.lk/en/ad/apple-iphone-15-128gb-256gb-512gb-used-for-sale-kurunegala-8
"Rs 239,000",Used,Apple,iPhone 16 Pro,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-128gb-used-for-sale-colombo-671
"Rs 124,999",Used,Apple,iPhone 13 Pro,256GB USA,iOS,,256 GB,Triple,5.1 to 6 inches,VoLTE,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-usa-used-for-sale-gampaha-92
"Rs 402,000",Brand New,Apple,iPhone 17 Pro Max,256GB,iOS,,256 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-brand-new-for-sale-colombo-890
"Rs 139,003",Used,Apple,iPhone 15,128 GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-128-gb-used-for-sale-colombo-614
"Rs 285,000",Used,Apple,iPhone 16 Pro Max,256GB,iOS,,256 GB,,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2424
"Rs 290,000",Used,Apple,iPhone 16 Pro Max,256GB,iOS,,256 GB,,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2423
"Rs 147,000",Used,Apple,iPhone 14 Pro,128GB/256GB/512GB,iOS,,,Triple,,5G,,,https://ikman.lk/en/ad/apple-iphone-14-pro-128gb-256gb-512gb-used-for-sale-kurunegala-15
"Rs 184,005",Used,Apple,iPhone 14 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-colombo-5069
"Rs 32,000",Used,Apple,iPhone XR,Apple,iOS,3 GB,64 GB,Dual,Above 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-xr-i-phone-used-for-sale-ratnapura
"Rs 85,000",Used,Apple,iPhone 12 Pro,12 pro,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-ll-a-used-for-sale-ampara
