Price,Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,Dual SIM,URL
"Rs 49,999",Used,Apple,iPhone XR,128GB RED FULLSET,iOS,4 GB,128 GB,Dual,Above 6 inches,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-xr-128gb-red-fullset-used-for-sale-colombo-4
"Rs 94,999",Used,Apple,iPhone 12 Pro,256GB USA,iOS,,256 GB,Triple,4 to 5 inches,VoLTE,Single SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-usa-used-for-sale-gampaha-685
"Rs 192,000",Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-kurunegala-326
"Rs 109,000",Used,Apple,iPhone 14,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1682
"Rs 78,000",Used,Apple,iPhone 12,128GB USA,iOS,,128 GB,Dual,4 to 5 inches,VoLTE,Single SIM,,https://ikman.lk/en/ad/apple-iphone-12-128gb-usa-used-for-sale-gampaha-306
"Rs 192,000",Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-puttalam-80
"Rs 280,000",Used,Apple,iPhone 16 Pro Max,512GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-512-used-for-sale-badulla
"Rs 84,999",Used,Apple,iPhone 11 Pro,256GB USA,iOS,,256 GB,Triple,4 to 5 inches,VoLTE,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-usa-used-for-sale-gampaha-1542
"Rs 138,000",Used,Apple,iPhone 14,,iOS,,128 GB,Dual,,5G,,,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1681
"Rs 90,000",Used,Apple,iPhone 11 Pro Max,64GB,iOS,4 GB,64 GB,Triple,Above 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-max-brand-new-condition-used-for-sale-jaffna
"Rs 46,500",Used,Apple,iPhone XR,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-xr-256gb-used-for-sale-kandy-78
"Rs 118,500",Used,Apple,iPhone 13 Pro,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-kandy-575
"Rs 74,900",Used,Apple,iPhone 12,64GB,iOS,,64 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-64gb-used-for-sale-kandy-293
"Rs 72,900",Used,Apple,iPhone 11,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-kandy-2279
"Rs 258,500",Used,Apple,iPhone 16 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-kandy-321
"Rs 72,900",Used,Apple,iPhone 11,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-kandy-2279
"Rs 129,900",Used,Apple,iPhone 14,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-kandy-424
"Rs 154,900",Used,Apple,iPhone 15,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-15-128gb-used-for-sale-kandy-296
"Rs 98,500",Used,Apple,iPhone 13,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-kandy-1006
"Rs 239,900",Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-kandy-606
"Rs 138,500",Used,Apple,iPhone 13 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-256gb-used-for-sale-kandy-760
"Rs 57,000",Used,Apple,iPhone 12,,iOS,,,,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-used-for-sale-galle-484
"Rs 99,990",Used,Apple,iPhone 12 Pro,128GB White,iOS,,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-white-used-for-sale-colombo-90
"Rs 168,500",Used,Apple,iPhone 14 Pro,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-kandy-413
"Rs 143,000",Used,Apple,iPhone 15,128GB,iOS,6 GB,128 GB,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-128gb-brand-new-for-sale-kandy-25
"Rs 109,500",Used,Apple,iPhone 14,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-kandy-425
"Rs 428,500",Used,Apple,iPhone 17 Pro Max,512GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-512gb-used-for-sale-kandy-15
,,,,,,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-256gb-used-for-sale-kandy-33
"Rs 83,000",Used,Apple,iPhone 11 Pro,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-colombo-11497
"Rs 98,000",Used,Apple,iPhone 12 Pro,512GB,iOS,,,Triple,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-512gb-used-for-sale-gampaha-717
"Rs 37,000",Used,Apple,iPhone XS,256GB,iOS,6 GB,256 GB,Quad,5.1 to 6 inches,VoLTE,Dual VoLTE,,https://ikman.lk/en/ad/apple-iphone-xs-256gb-used-for-sale-gampaha-8333
"Rs 93,000",Used,Apple,iPhone 12 Pro,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-colombo-3697
"Rs 159,500",Used,Apple,iPhone 16,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-128gb-used-for-sale-kandy-94
"Rs 46,500",Used,Apple,iPhone 11,Iphone 11 (128GB),iOS,,128 GB,Dual,,,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19069
"Rs 164,900",Used,Apple,iPhone 13 Pro Max,246GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-246gb-used-for-sale-kandy
"Rs 294,900",Used,Apple,iPhone 16 Pro Max,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-kandy-319
"Rs 104,900",Used,Apple,iPhone 13,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-kandy-1005
"Rs 299,000",Used,Apple,iPhone 16 Pro Max,512GB,iOS,,,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-512gb-used-for-sale-colombo-289
"Rs 154,500",Used,Apple,iPhone 14 Pro,iphone 14 pro 256GB,iOS,,256 GB,Triple,,5G,,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-kandy-411
"Rs 154,900",Used,Apple,iPhone 13 Pro Max,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-128gb-used-for-sale-kandy-271
"Rs 37,000",Used,Apple,iPhone X,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-x-256gb-used-for-sale-kurunegala-1759
"Rs 108,500",Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-gampaha-2073
"Rs 179,900",Used,Apple,iPhone 14 Pro,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-kandy-412
"Rs 98,000",Used,Apple,iPhone 13,Apple,iOS,,128 GB,Dual,,,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-matara-188
"Rs 97,500",Used,Apple,iPhone 12 Pro,512GB,iOS,,,Triple,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-512gb-used-for-sale-gampaha-718
"Rs 117,500",Used,Apple,iPhone 12 Pro Max,256GB,iOS,,256 GB,Triple,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-gampaha-5755
"Rs 119,900",Used,Apple,iPhone 13 Pro,128GB Full Set,iOS,,,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-full-set-used-for-sale-gampaha-9
"Rs 134,999",Used,Apple,iPhone 13 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-gampaha-3346
"Rs 102,998",Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-gampaha-8866
"Rs 92,998",Used,Apple,iPhone 12 Pro,128GB,iOS,,128 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-gampaha-4428
"Rs 280,000",Used,Apple,iPhone 16 Pro Max,,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-used-for-sale-gampaha-214
"Rs 35,000",Used,Apple,iPhone X,256GB,iOS,12 GB,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-x-256gb-used-for-sale-ratnapura-2010
"Rs 176,999",Used,Apple,iPhone 14 Pro Max,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-used-for-sale-colombo-2011
"Rs 58,000",Used,Apple,iPhone XS,256GB,iOS,,256 GB,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-xs-256gb-used-for-sale-gampaha-8332
"Rs 85,000",Used,Apple,iPhone 11 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-gampaha-11067
"Rs 58,000",Used,Apple,iPhone X,,iOS,,64 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-x-used-for-sale-colombo-9411
"Rs 123,000",Used,Apple,iPhone 12 Pro Max,256GB,iOS,,128 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-gampaha-5754
"Rs 22,000",Used,Apple,iPhone 7 Plus,,iOS,4 GB,128 GB,Dual,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-7-plus-used-for-sale-kandy-6085
"Rs 135,000",Used,Apple,iPhone 13 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-gampaha-3345
"Rs 125,000",Used,Apple,iPhone 13 Pro,128GB,iOS,,128 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-used-for-sale-gampaha-1574
"Rs 144,900",Used,Apple,iPhone 13 Pro,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-kandy-573
"Rs 299,000",Used,Apple,iPhone 16 Pro Max,512GB,iOS,,,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-512gb-used-for-sale-colombo-289
"Rs 235,000",Used,Apple,iPhone 15 Pro Max,256GB Blue,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-blue-used-for-sale-colombo-46
"Rs 144,900",Used,Apple,iPhone 13 Pro,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-kandy-573
"Rs 119,999",Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-gampaha-2072
"Rs 224,900",Used,Apple,iPhone 15 Pro,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-kandy-165
"Rs 459,000",Brand New,Apple,iPhone 17 Pro Max,256gb,iOS,,256 GB,Triple,,5G,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-brand-new-for-sale-kandy-50
"Rs 414,000",Brand New,Apple,iPhone 17 Pro,256gb,iOS,,256 GB,Triple,,5G,,,https://ikman.lk/en/ad/apple-iphone-17-pro-256gb-brand-new-for-sale-kandy-12
"Rs 294,000",Brand New,Apple,iPhone 17,256gb,iOS,,256 GB,Dual,,5G,,,https://ikman.lk/en/ad/apple-iphone-17-256gb-brand-new-for-sale-kandy-8
"Rs 185,000",Used,Apple,iPhone 14 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-gampaha-2375
"Rs 78,000",Used,Apple,iPhone 12,128GB,iOS,,128 GB,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-gampaha-6948
"Rs 102,000",Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-gampaha-6681
"Rs 100,000",Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-gampaha-8865
"Rs 93,000",Used,Apple,iPhone 12 Pro,128GB,iOS,,128 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-gampaha-4427
"Rs 102,000",Used,Apple,iPhone 13 Pro Max,128GB,iOS,,128 GB,Triple,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-128gb-used-for-sale-kandy-270
"Rs 45,000",Used,Apple,iPhone XS,,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-gampaha-2846
"Rs 55,000",Used,Apple,iPhone 12 mini,iPhone 12 mini 64GB,iOS,6 GB,64 GB,Dual,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-12-mini-64gb-used-for-sale-kandy-104
"Rs 43,000",Used,Apple,iPhone 11,128GB,iOS,4 GB,128 GB,Dual,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-kandy-2278
"Rs 100,000",Used,Apple,iPhone 14,,iOS,,128 GB,Dual,,5G,,,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1680
"Rs 41,000",Used,Apple,iPhone XS Max,64GB /256GB,iOS,,,Dual,,,,,https://ikman.lk/en/ad/apple-iphone-xs-max-64gb-256gb-used-for-sale-gampaha
"Rs 22,000",Used,Apple,iPhone 7 Plus,128GB,iOS,3 GB,128 GB,Dual,5.1 to 6 inches,VoLTE,Single SIM,,https://ikman.lk/en/ad/apple-iphone-7-plus-128gb-used-for-sale-polonnaruwa-420
"Rs 40,000",Used,Apple,iPhone 11,,iOS,4 GB,128 GB,Dual,4 to 5 inches,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-kegalle-622
"Rs 81,900",Used,Apple,iPhone 12,128GB Red,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-128gb-red-used-for-sale-colombo-179
"Rs 181,000",Used,Apple,iPhone 14 Pro Max,,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-kandy-773
"Rs 99,500",Used,Apple,iPhone 12 Pro,Apple iPhone 12 Pro,iOS,,256 GB,,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-matale-156
"Rs 83,500",Used,Apple,iPhone 11 Pro Max,256GB,iOS,,256 GB,Triple,,,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-max-256-gb-used-for-sale-gampaha-228
"Rs 258,500",Used,Apple,iPhone 16 Pro,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-256gb-used-for-sale-kurunegala-47
"Rs 60,000",Brand New,Apple,iPhone 17 Pro Max,256GB AAA REPLICA.,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-aaa-replica-brand-new-for-sale-colombo-3
"Rs 83,500",Used,Apple,iPhone 11 Pro Max,256GB,iOS,,256 GB,Triple,,,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-max-256-gb-used-for-sale-gampaha-228
"Rs 214,900",Used,Apple,iPhone 15 Pro,256GB White Titanium,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-white-titanium-used-for-sale-colombo-35
"Rs 250,000",Used,Apple,iPhone 17,256GB,iOS,,,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-17-256gb-black-used-for-sale-colombo-1
"Rs 235,000",Used,Apple,iPhone 15 Pro Max,256GB Blue,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-blue-used-for-sale-colombo-46
"Rs 72,000",Used,Apple,iPhone 11 Pro,Apple,iOS,,256 GB,Quad,,5G,Dual VoLTE,,https://ikman.lk/en/ad/apple-iphone-11-pro-i-phone-256-used-for-sale-ratnapura-4
"Rs 178,990",Brand New,Apple,iPhone 15,128GB,iOS,,128 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-15-128gb-brand-new-for-sale-colombo-581
"Rs 425,000",Used,Apple,iPhone 17 Pro Max,512gb deep blue,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-512gb-deep-blue-used-for-sale-kandy
"Rs 135,000",Used,Apple,iPhone 13 Pro Max,,iOS,,256 GB,Triple,Above 6 inches,5G,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-used-for-sale-colombo-3123
"Rs 14,500",Used,Apple,iPhone 7,128GB,iOS,,128 GB,,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-7-128gb-used-for-sale-kegalle-1085
"Rs 52,000",Used,Apple,iPhone 11,,iOS,,64 GB,Dual,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-ampara-705
"Rs 99,500",Used,Apple,iPhone 13,Iphone 13,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-colombo-3483
"Rs 62,000",Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-gampaha-13797
"Rs 146,000",Used,Apple,iPhone 13 Pro Max,Apple,iOS,6 GB,256 GB,Triple,,5G,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-used-for-sale-kandy-947
"Rs 60,000",Used,Apple,iPhone XS Max,Apple,iOS,16 GB,256 GB,Dual,Above 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-xs-max-used-for-sale-colombo-3182
"Rs 69,000",Used,Google,Pixel 7,128GB,iOS,,128 GB,,,5G,,,https://ikman.lk/en/ad/google-pixel-7-128gb-used-for-sale-colombo-632
"Rs 58,900",Used,Google,Pixel 6,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/google-pixel-6-256gb-used-for-sale-colombo-142
"Rs 229,900",Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5849
"Rs 160,000",Used,Apple,iPhone 15,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-15-128gb-used-for-sale-colombo-3526
"Rs 213,000",Used,Apple,iPhone 15 Pro,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-colombo-1820
"Rs 208,900",Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-colombo-5064
"Rs 175,900",Used,Apple,iPhone 14 Pro,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-colombo-3250
"Rs 129,000",Used,Apple,iPhone 12 Pro Max,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-128gb-used-for-sale-colombo-3537
"Rs 167,000",Used,Apple,iPhone 13 Pro Max,512GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-512gb-used-for-sale-colombo-459
"Rs 103,000",Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10473
"Rs 138,900",Used,Apple,iPhone 13 Pro,512GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-512gb-used-for-sale-colombo-395
"Rs 188,500",Used,Apple,iPhone 14 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-kandy-612
"Rs 285,000",Brand New,Apple,iPhone 17,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-brand-new-for-sale-kandy-1
"Rs 175,900",Used,Apple,iPhone 14 Pro,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-colombo-3250
"Rs 129,000",Used,Apple,iPhone 12 Pro Max,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-128gb-used-for-sale-colombo-3537
"Rs 167,000",Used,Apple,iPhone 13 Pro Max,512GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-512gb-used-for-sale-colombo-459
"Rs 103,000",Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10473
"Rs 138,900",Used,Apple,iPhone 13 Pro,512GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-512gb-used-for-sale-colombo-395
"Rs 103,000",Used,Apple,iPhone 13,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11554
"Rs 68,900",Used,Apple,iPhone 11,128GB,iOS,,128 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19066
"Rs 89,000",Used,Apple,iPhone 11 Pro Max,Apple,iOS,4 GB,256 GB,Triple,Above 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-max-11pro-used-for-sale-batticaloa
"Rs 149,999",Used,Apple,iPhone 13 Pro,Apple,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-ja-used-for-sale-trincomalee
"Rs 188,000",Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,,Above 6 inches,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-colombo-5049
"Rs 117,000",Used,Apple,iPhone 12 Pro Max,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-colombo-7839
"Rs 122,000",Used,Apple,iPhone 13 Pro,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-used-for-sale-colombo-3299
"Rs 164,000",Used,Apple,iPhone 14 Pro,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-128gb-used-for-sale-colombo-2802
"Rs 94,000",Used,Apple,iPhone 13,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11498
"Rs 96,000",Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10421
"Rs 73,000",Used,Apple,iPhone 12,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9701
"Rs 280,000",Used,Apple,iPhone 16 Pro Max,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2386
"Rs 62,000",Used,Apple,iPhone 11,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19023
"Rs 130,000",Used,Apple,iPhone 14,IPhone 14 128GB,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-14-128-za-used-for-sale-colombo
"Rs 92,000",Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11553
"Rs 32,000",Used,Samsung,Galaxy A24,Samsung,iOS,4 GB,128 GB,Triple,,VoLTE,,,https://ikman.lk/en/ad/samsung-galaxy-a24-used-for-sale-gampaha-57
"Rs 61,500",Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,,,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19065
"Rs 75,000",Used,Apple,iPhone 11 Pro,256GB,iOS,,256 GB,Triple,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-colombo-11495
"Rs 72,000",Used,Apple,iPhone 12,128GB,iOS,,128 GB,Dual,,,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9729
"Rs 205,000",Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,Triple,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5848
"Rs 118,500",Used,Apple,iPhone 14,128GB,iOS,6 GB,128 GB,,4 to 5 inches,,Dual VoLTE,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-galle-136
"Rs 92,499",Used,Apple,iPhone 13,128GB,iOS,,128 GB,Quad,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11373
"Rs 115,000",Used,Apple,iPhone 12 Pro Max,256GB,iOS,,256 GB,Triple,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-colombo-7856
"Rs 69,500",Used,Apple,iPhone 12 mini,Apple,iOS,,128 GB,Dual,,VoLTE,Single SIM,,https://ikman.lk/en/ad/apple-iphone-12-mini-used-for-sale-gampaha-421
"Rs 108,000",Used,Apple,iPhone 14 Plus,14 PLUS 128GB,iOS,,128 GB,Dual,,VoLTE,,,https://ikman.lk/en/ad/apple-iphone-14-plus-128gb-used-for-sale-gampaha-743
"Rs 112,000",Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5938
"Rs 72,000",Used,Apple,iPhone 12,128GB,iOS,,128 GB,Dual,,,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9715
"Rs 225,000",Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,Triple,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5839
