Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,URL
Used,Apple,iPhone 14 Pro Max,256GB,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256-gb-used-for-sale-gampaha-131
Used,Apple,iPhone XR,128GB RED FULLSET,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-xr-128gb-red-fullset-used-for-sale-colombo-6
Used,Apple,iPhone 15 Pro,256GB/128GB 94%BH 5G,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-128gb-94-percent-bh-5g-used-for-sale-colombo
Used,Apple,iPhone XS,64GB,iOS,3 GB,64 GB,Dual,,4G,,https://ikman.lk/en/ad/apple-iphone-xs-64gb-used-for-sale-gampaha-3416
Used,Apple,iPhone 13,128GB PINK SAMEIMEI,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-128gb-pink-sameimei-used-for-sale-colombo-3
Used,Apple,iPhone 13 Pro,128GB SAMEIMEI BOX,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-sameimei-box-used-for-sale-colombo-96
Used,Apple,iPhone 12 Pro,256GB FULLSET BOX,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-fullset-box-used-for-sale-colombo-204
Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,4G,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11561
Used,Apple,iPhone XR,128GB RED FULLSET,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-xr-128gb-red-fullset-used-for-sale-colombo-5
Used,Apple,iPhone X,x,iOS,4 GB,64 GB,Dual,5.1 to 6 inches,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-x-i-phone-used-for-sale-kandy-243
Used,Apple,iPhone 12 Pro Max,256GB,iOS,,256 GB,Triple,,4G,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-colombo-7857
Used,Apple,iPhone 14 Pro Max,128GB FULLSET BOX,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-fullset-box-used-for-sale-colombo-1
Used,Apple,iPhone 13 Pro,iphone 13 pro 256GB,iOS,,256 GB,Triple,,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-kandy-574
Used,Apple,iPhone 13,128GB,iOS,8 GB,128 GB,Dual,,5G,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-gampaha-6687
Used,Apple,iPhone 15 Pro,256GB/128GB SAMEIMEI,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-128gb-sameimei-used-for-sale-colombo-38
Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,Triple,,4G,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10483
Used,Apple,iPhone 14,128GB FULLSET BOX,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-128gb-fullset-box-used-for-sale-colombo-203
Used,Apple,iPhone 14 Pro,,iOS,,256 GB,,,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kalutara-281
Brand New,Apple,iPhone 17 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-brand-new-for-sale-kandy-36
Used,Apple,iPhone 16 Pro,256GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-256gb-used-for-sale-kurunegala-47
Used,Apple,iPhone 14,128GB FULLSET BOX,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-128gb-fullset-box-used-for-sale-colombo-203
