Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,URL
Used,Apple,iPhone 15 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-used-for-sale-kandy-455
Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,Triple,,5G,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-colombo-4978
Used,Apple,iPhone 13,128GB,iOS,8 GB,128 GB,Dual,4 to 5 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11560
Used,Apple,iPhone 17,256GB,iOS,,,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-17-256gb-black-used-for-sale-colombo-1
Brand New,Apple,iPhone 17,256gb,iOS,8 GB,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-17-256gb-brand-new-for-sale-vavuniya-2
Brand New,Apple,iPhone 16,256GB.,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-16-256gb-brand-new-for-sale-colombo-417
Used,Apple,iPhone 15 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-used-for-sale-kandy-457
Used,Apple,iPhone 15 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-used-for-sale-kandy-456
Brand New,Apple,iPhone 16,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-16-128gb-brand-new-for-sale-colombo-971
Used,Apple,iPhone 12 Pro Max,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-kandy-1133
Used,Apple,iPhone 15 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-used-for-sale-kandy-455
Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,Triple,,5G,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-colombo-4978
Used,Apple,iPhone 13,128GB,iOS,8 GB,128 GB,Dual,4 to 5 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11560
Used,Apple,iPhone 7,32GB,iOS,3 GB,128 GB,,4 to 5 inches,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-7-32gb-used-for-sale-colombo-6642
Used,Apple,iPhone 16 Pro Max,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2274
Used,Apple,iPhone 14 Plus,128GB,iOS,8 GB,128 GB,Dual,4 to 5 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-plus-128gb-used-for-sale-colombo-1534
Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-kandy-1068
Brand New,Apple,iPhone 15,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-15-256gb-brand-new-for-sale-colombo-276
Used,Apple,iPhone 13,128GB,iOS,8 GB,128 GB,Dual,4 to 5 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11559
Used,Apple,iPhone 15,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-used-for-sale-kandy-184
Used,Apple,iPhone 15,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-used-for-sale-kandy-183
Used,Apple,iPhone 15,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-used-for-sale-kandy-182
Used,Apple,iPhone 15 Pro,128GB,iOS,8 GB,128 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1516
Used,Apple,iPhone 15,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-used-for-sale-kandy-181
Used,Apple,iPhone 12 Pro,128GB,iOS,8 GB,128 GB,Triple,4 to 5 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-colombo-5626
Brand New,Apple,iPhone 15,128GB.,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-15-128gb-brand-new-for-sale-colombo-965
Used,Apple,iPhone 15 Pro Max,256GB,iOS,8 GB,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5853
Used,Apple,iPhone 15 Pro,128GB,iOS,,128 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-kandy-116
Brand New,Apple,iPhone 14,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-brand-new-for-sale-colombo-718
Used,Apple,iPhone 6,Iphone 6,iOS,,128 GB,,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-6-used-for-sale-puttalam-1767
Brand New,Apple,iPhone 17 Pro Max,256GB AAA REPLICA.,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-aaa-replica-brand-new-for-sale-colombo-3
Used,Apple,iPhone 12 Pro Max,Apple,iOS,,256 GB,Triple,,4G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-gampaha-1923
Used,Apple,iPhone 6,Iphone 6,iOS,,128 GB,,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-6-used-for-sale-puttalam-1767
Used,Apple,iPhone 14 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-kandy-794
Used,Apple,iPhone 14 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-kandy-793
Used,Apple,iPhone 11,64GB,iOS,,64 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-11-64gb-used-for-sale-kandy-695
Used,Apple,iPhone 14 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-kandy-792
Brand New,Apple,iPhone 16,Apple,iOS,,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-16-brand-new-for-sale-galle-11
Used,Apple,iPhone 14 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-kandy-791
Used,Apple,iPhone 15 Plus,128GB,iOS,,128 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-15-plus-128gb-used-for-sale-kandy-68
Used,Apple,iPhone 7,Apple,iOS,4 GB,128 GB,Dual,4 to 5 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-7-0757259191-used-for-sale-monaragala
Used,Apple,iPhone 14 Pro,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-422
Used,Apple,iPhone 12 Pro,256GB,iOS,6 GB,256 GB,Quad,4 to 5 inches,VoLTE,Dual VoLTE,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-galle-381
Used,Apple,iPhone 7 Plus,,iOS,,32 GB,Dual,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-7-plus-used-for-sale-gampaha-8967
Used,Apple,iPhone 14 Pro,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-421
Used,Apple,iPhone 14 Pro,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-419
Used,Apple,iPhone 13,128GB SAMEIMEI PINK,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-128gb-sameimei-pink-used-for-sale-colombo-4
Used,Apple,iPhone 12 Pro,256GB FULLSET ZP/A,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-fullset-zp-a-used-for-sale-colombo
Used,Apple,iPhone 14 Pro,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-420
Used,Apple,iPhone XR,128GB RED FULLSET,iOS,4 GB,128 GB,Dual,Above 6 inches,4G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-xr-128gb-red-fullset-used-for-sale-colombo-4
Used,Apple,iPhone 12 Pro,256GB USA,iOS,,256 GB,Triple,4 to 5 inches,VoLTE,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-usa-used-for-sale-gampaha-685
Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-kurunegala-326
Used,Apple,iPhone 14,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1682
Used,Apple,iPhone 12,128GB USA,iOS,,128 GB,Dual,4 to 5 inches,VoLTE,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-128gb-usa-used-for-sale-gampaha-306
Used,Apple,iPhone 14,128GB Full Set,iOS,,,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-128gb-full-set-used-for-sale-gampaha
Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-puttalam-80
Used,Apple,iPhone 16 Pro Max,512GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-512-used-for-sale-badulla
Brand New,Apple,iPhone 16 Pro Max,512GB AAA REPLICA.,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-16-pro-max-512gb-aaa-replica-brand-new-for-sale-colombo-2
Brand New,Apple,iPhone 17,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-brand-new-for-sale-kandy-1
Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-puttalam-80
Used,Apple,iPhone 16 Pro Max,512GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-512-used-for-sale-badulla
Used,Apple,iPhone 11 Pro,256GB USA,iOS,,256 GB,Triple,4 to 5 inches,VoLTE,Single SIM,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-usa-used-for-sale-gampaha-1542
Used,Apple,iPhone 14,,iOS,,128 GB,Dual,,5G,,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1681
Used,Apple,iPhone 11 Pro Max,64GB,iOS,4 GB,64 GB,Triple,Above 6 inches,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-11-pro-max-brand-new-condition-used-for-sale-jaffna
Used,Apple,iPhone XR,256 GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-xr-256-gb-used-for-sale-kandy
Used,Apple,iPhone 13 Pro,256 GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-256-gb-used-for-sale-kandy-203
Used,Apple,iPhone 12,64GB,iOS,,64 GB,,,,,https://ikman.lk/en/ad/apple-iphone-12-64gb-used-for-sale-kandy-293
Used,Apple,iPhone 11,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-kandy-2279
Used,Apple,iPhone 14,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-kandy-424
Used,Apple,iPhone 15,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-15-128gb-used-for-sale-kandy-296
Used,Apple,iPhone 13,128 GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128-gb-used-for-sale-kandy-374
Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-kandy-606
Used,Apple,iPhone 13 Pro Max,256 GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-256-gb-used-for-sale-kandy-341
Used,Apple,iPhone 12,,iOS,,,,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-used-for-sale-galle-484
Used,Apple,iPhone 12 Pro,128GB White,iOS,,128 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-white-used-for-sale-colombo-90
Used,Apple,iPhone 14 Pro,256 GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-256-gb-used-for-sale-kandy-152
Used,Apple,iPhone 15,128GB,iOS,6 GB,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-128gb-brand-new-for-sale-kandy-25
Used,Apple,iPhone 14,128 GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-128-gb-used-for-sale-kandy-121
Used,Apple,iPhone 17 Pro Max,512 GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-512-gb-used-for-sale-kandy-12
Used,Apple,iPhone 15,256 GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-256-gb-used-for-sale-kandy-20
Used,Apple,iPhone 11 Pro,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-colombo-11497
Used,Apple,iPhone 12 Pro,512GB,iOS,,,Triple,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-512gb-used-for-sale-gampaha-717
Used,Apple,iPhone XS,256GB,iOS,6 GB,256 GB,Quad,5.1 to 6 inches,VoLTE,Dual VoLTE,https://ikman.lk/en/ad/apple-iphone-xs-256gb-used-for-sale-gampaha-8333
Used,Apple,iPhone 12 Pro,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-colombo-3697
Used,Apple,iPhone 15 Pro,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1500
Used,Apple,iPhone 15 Plus,128GB,iOS,,,Dual,,5G,,https://ikman.lk/en/ad/apple-iphone-15-plus-128gb-used-for-sale-kurunegala-7
Used,Apple,iPhone 12 Pro,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-colombo-3697
Used,Apple,iPhone 11 Pro Max,Apple,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-max-gray-used-for-sale-kandy
Used,Apple,iPhone 16,128 GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-128-gb-used-for-sale-kandy-65
Used,Apple,iPhone 11,Iphone 11 (128GB),iOS,,128 GB,Dual,,,Dual SIM,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19069
Used,Apple,iPhone 13 Pro Max,246GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-246gb-used-for-sale-kandy
Used,Apple,iPhone 16 Pro Max,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-kandy-319
Used,Apple,iPhone 13,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-kandy-1005
Used,Apple,iPhone 11,,iOS,,128 GB,Dual,5.1 to 6 inches,,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-batticaloa-701
Used,Apple,iPhone 14 Pro,iphone 14 pro 256GB,iOS,,256 GB,Triple,,5G,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-kandy-411
Used,Apple,iPhone 13 Pro Max,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-128gb-used-for-sale-kandy-271
Used,Apple,iPhone X,256GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-x-256gb-used-for-sale-kurunegala-1759
Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,4G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-gampaha-2073
Used,Apple,iPhone 14 Pro,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-kandy-412
Used,Apple,iPhone 13,Apple,iOS,,128 GB,Dual,,,Single SIM,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-matara-188
Used,Apple,iPhone 12 Pro,512GB,iOS,,,Triple,,4G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-512gb-used-for-sale-gampaha-718
Used,Apple,iPhone 12 Pro Max,256GB,iOS,,256 GB,Triple,,4G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-gampaha-5755
Used,Apple,iPhone 13 Pro,128GB Full Set,iOS,,,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-full-set-used-for-sale-gampaha-9
Used,Apple,iPhone 13 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-gampaha-3346
Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-gampaha-8866
Used,Apple,iPhone 12 Pro,128GB,iOS,,128 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-gampaha-4428
Used,Apple,iPhone 16 Pro Max,,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-16-pro-max-used-for-sale-gampaha-214
Used,Apple,iPhone X,256GB,iOS,12 GB,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-x-256gb-used-for-sale-ratnapura-2010
Used,Apple,iPhone SE 2,128GB,iOS,,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-se-2-128gb-used-for-sale-gampaha-5828
Used,Apple,iPhone 14 Pro Max,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-used-for-sale-colombo-2011
Used,Apple,iPhone XS,256GB,iOS,,256 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-xs-256gb-used-for-sale-gampaha-8332
Used,Apple,iPhone 16 Pro Max,256GB,iOS,,,,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2385
Used,Apple,iPhone 13 Pro Max,512GB,iOS,,,Triple,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-512gb-used-for-sale-colombo-455
Used,Apple,iPhone XS,256GB,iOS,,256 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-xs-256gb-used-for-sale-gampaha-8332
Used,Apple,iPhone 11 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-gampaha-11067
Used,Apple,iPhone X,,iOS,,64 GB,,,,,https://ikman.lk/en/ad/apple-iphone-x-used-for-sale-colombo-9411
Used,Apple,iPhone 12 Pro Max,256GB,iOS,,128 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-gampaha-5754
Used,Apple,iPhone 7 Plus,,iOS,4 GB,128 GB,Dual,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-7-plus-used-for-sale-kandy-6085
Used,Apple,iPhone 13 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-gampaha-3345
Used,Apple,iPhone 13 Pro,128GB,iOS,,128 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-used-for-sale-gampaha-1574
Used,Apple,iPhone 13 Pro,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-kandy-573
Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-gampaha-2072
Used,Apple,iPhone 15 Pro,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-kandy-165
Brand New,Apple,iPhone 17 Pro Max,256gb,iOS,,256 GB,Triple,,5G,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-brand-new-for-sale-kandy-50
Brand New,Apple,iPhone 17 Pro,256gb,iOS,,256 GB,Triple,,5G,,https://ikman.lk/en/ad/apple-iphone-17-pro-256gb-brand-new-for-sale-kandy-12
Brand New,Apple,iPhone 17,256gb,iOS,,256 GB,Dual,,5G,,https://ikman.lk/en/ad/apple-iphone-17-256gb-brand-new-for-sale-kandy-8
Used,Apple,iPhone 14 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-gampaha-2375
Used,Apple,iPhone 12,128GB,iOS,,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-gampaha-6948
Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-gampaha-6681
Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-gampaha-8865
Used,Apple,iPhone 12 Pro,128GB,iOS,,128 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-gampaha-4427
Used,Apple,iPhone 16 Pro Max,256 GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256-gb-used-for-sale-kandy-181
Used,Apple,iPhone 13 Pro Max,128GB,iOS,,128 GB,Triple,,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-max-128gb-used-for-sale-kandy-270
Used,Apple,iPhone XS,,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-gampaha-2846
Used,Apple,iPhone 12 mini,iPhone 12 mini 64GB,iOS,6 GB,64 GB,Dual,,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-mini-64gb-used-for-sale-kandy-104
Used,Apple,iPhone 11,128GB,iOS,4 GB,128 GB,Dual,,4G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-kandy-2278
Used,Apple,iPhone 13,128GB,iOS,3 GB,128 GB,Dual,5.1 to 6 inches,5G,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-kandy-1004
Used,Apple,iPhone 14,,iOS,,128 GB,Dual,,5G,,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1680
Used,Apple,iPhone 12,128GB,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-polonnaruwa-100
Used,Apple,iPhone 14,128GB,iOS,6 GB,128 GB,,4 to 5 inches,,Dual VoLTE,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-galle-136
Used,Apple,iPhone XS Max,64GB /256GB,iOS,,,Dual,,,,https://ikman.lk/en/ad/apple-iphone-xs-max-64gb-256gb-used-for-sale-gampaha
Used,Apple,iPhone 7 Plus,128GB,iOS,3 GB,128 GB,Dual,5.1 to 6 inches,VoLTE,Single SIM,https://ikman.lk/en/ad/apple-iphone-7-plus-128gb-used-for-sale-polonnaruwa-420
Used,Apple,iPhone 11,,iOS,4 GB,128 GB,Dual,4 to 5 inches,4G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-kegalle-622
Used,Apple,iPhone 12,128GB Red,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-128gb-red-used-for-sale-colombo-179
Used,Apple,iPhone 14 Pro Max,,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-kandy-773
Used,Apple,iPhone 12 Pro,Apple iPhone 12 Pro,iOS,,256 GB,,,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-matale-156
Used,Apple,iPhone 11 Pro Max,256GB,iOS,,256 GB,Triple,,,Single SIM,https://ikman.lk/en/ad/apple-iphone-11-pro-max-256-gb-used-for-sale-gampaha-228
Used,Apple,iPhone 15 Pro,256GB White Titanium,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-white-titanium-used-for-sale-colombo-35
Used,Apple,iPhone 17,256GB,iOS,,,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-17-256gb-black-used-for-sale-colombo-1
Used,Apple,iPhone 15 Pro Max,256GB Blue,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-blue-used-for-sale-colombo-46
Used,Apple,iPhone 11 Pro,Apple,iOS,,256 GB,Quad,,5G,Dual VoLTE,https://ikman.lk/en/ad/apple-iphone-11-pro-i-phone-256-used-for-sale-ratnapura-4
Brand New,Apple,iPhone 15,128GB,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-15-128gb-brand-new-for-sale-colombo-581
Used,Apple,iPhone 17 Pro Max,512gb deep blue,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-512gb-deep-blue-used-for-sale-kandy
Used,Apple,iPhone 13 Pro Max,,iOS,,256 GB,Triple,Above 6 inches,5G,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-used-for-sale-colombo-3123
Used,Apple,iPhone 7,128GB,iOS,,128 GB,,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-7-128gb-used-for-sale-kegalle-1085
Used,Apple,iPhone 11,,iOS,,64 GB,Dual,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-ampara-705
Used,Apple,iPhone 13,Iphone 13,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-colombo-3483
Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-gampaha-13797
Used,Apple,iPhone 13 Pro Max,Apple,iOS,6 GB,256 GB,Triple,,5G,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-used-for-sale-kandy-947
Used,Apple,iPhone XS Max,Apple,iOS,16 GB,256 GB,Dual,Above 6 inches,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-xs-max-used-for-sale-colombo-3182
Used,Google,Pixel 7,128GB,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/google-pixel-7-128gb-used-for-sale-colombo-632
Used,Google,Pixel 6,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/google-pixel-6-256gb-used-for-sale-colombo-142
Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5849
Used,Apple,iPhone 15,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-15-128gb-used-for-sale-colombo-3526
